Day,Date,Journal,,,,,,,,,,,,,,
Sunday,1/28/2024,Cleamed my room and did laundry. Studied some CFA and gymmed. Went to glitch with ishita,,,,,,,,,,,,,,
Monday,1/29/2024,"Prayed, spoke to ria and mama. Worked. Tried to do 1.3 in the bus. Came back and ate food. wemt gym and swimming. Fell asleep late",,,,,,,,,,,,,,
Tuesday,1/30/2024,very sleepy the whole day. Started T3 preparation. Went to Dwayne and played fifa. ,,,,,,,,,,,,,,
Wednesday,1/31/2024,presented at ubcfa. went with dhingra to 29 floor. had donair with chirath and Alex and spoke about otpp and stuff. met nubbh for like 20. pretty lame. really lame.,,,,,,,,,,,,,,
Thursday,2/1/2024,"worked. got a haircut, met trisha and all, meeting with dwayne and syed, spoke to aarnav and food. slept",,"budget finances, look at indexes, stocks in buy, send 4 coffee chat messages, speak to sat for a meeting, ",,,,,,,,,,,,
Friday,2/2/2024,went drinking with dwayne and agrim at night. fifa at dwaynes and came late. ,,,,,,,,,,,,,,
Saturday,2/3/2024,watched animal at night and ishita came over.,,,,,,,,,,,,,,
Sunday,2/4/2024,went grocery shopping with rishav. cooked chicken and slept for 4 hours in the afternoon. ,,,,,,,,,,,,,,
Monday,2/5/2024,went to work. cooked butter chicken for the first time.,,,,,,,,,,,,,,
Tuesday,2/6/2024,went to the library after work and did a bit of cfa with dwayne. met with ishita for a walk and told her everything. came back and cooked butter chicken way better now. slept,,,,,,,,,,,,,,
Wednesday,2/7/2024,Worked till 6pm. went to ovio for a brief to check it out with Tanya. went for the financial meeting and it was amazing. session about nimas journey though the industry. came back with ramneek and sanchay and cooked a weekly mindset meeting plan where each of us speak. came back and had the cooked meal. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"worked. priyansh, neel, shubhum, ramneek convos, wfg at 7, garbage ate slept",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
