Day,Date,Activity,,,,,,,,,,,,,,,,,,,,,,,
Sunday,05/01/2022,"Umangs house, watched ipl and la mer",,,,,,,,,,,,,,,,,,,,,,,
Monday,05/02/2022,Aquafit Marina,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,05/03/2022,"Hamdan over, friends at meheks, mamzar guitar with fam in morning, bua, ikea and lamcy in the evening had haldirams in evening",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,05/04/2022,did nothing and slept a lot,,,,,,,,,,,,,,,,,,,,,,,
Thursday,05/05/2022,"Mamas birthday, Baked a cake, went to Pizza express and had ladys night for mama and ria",,,,,,,,,,,,,,,,,,,,,,,
Friday,05/06/2022,met ajay at gym! had kfc and watched match in evening while mama papa went to atul uncles house,,,,,,,,,,,,,,,,,,,,,,,
Saturday,05/07/2022,"played valorant with das and spoke after a long time, met advik and seshadri and went to lassi shop",,,,,,,,,,,,,,,,,,,,,,,
Sunday,05/08/2022,played cricket with manoj and co. didnt play too well lol. again played valo with das,,,,,,,,,,,,,,,,,,,,,,,
Monday,05/09/2022,"talked to fateh and jeba, had chinchaus, played fortnite, went for visa with papa to amer and had amazing amritsar makhan",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,05/10/2022,"went to herriotwatt with all friends, played bowling and got 95 points.",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,05/11/2022,"gymmed with ajay amazing sesh., met advik and sesh, ate at veg dine, played indoor cricket.",,,,,,,,,,,,,,,,,,,,,,,
Thursday,05/12/2022,"met das, hamdan ahmed, went to cafe to play ps4, ate burger club and veg dine",,,,,,,,,,,,,,,,,,,,,,,
Friday,05/13/2022,"helped mama with assignment, made maggi for mama ria, and went for runway hindi movie",,,,,,,,,,,,,,,,,,,,,,,
Saturday,05/14/2022,went late night gym and ria ordered burger king late night. Saw the wrong missy movie lol. felt bored during day.,,,,,,,,,,,,,,,,,,,,,,,
Sunday,05/15/2022,baked a vanilla cake. went to malabar. watched ipl,,,,,,,,,,,,,,,,,,,,,,,
Monday,05/16/2022,"did ahmeds workout, watched logan paul lol. played top golf, met priyanka di and everyone else",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,05/17/2022,"made pizza, went to shyams for massage",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,05/18/2022,no idea lol,,,,,,,,,,,,,,,,,,,,,,,
Thursday,05/19/2022,"Played pool with Ria. Went to al Seef with hamdan, amos, johnson, shahid and maaz; went on abra had chai and watched girl next door.",,,,,,,,,,,,,,,,,,,,,,,
Friday,05/20/2022,"went to sadguru save soil, had PF changs and bowled late night.",,,,,,,,,,,,,,,,,,,,,,,
Saturday,05/21/2022,"Played cricket in the morning, had aalo paratha, met mrudav advik seshadri, went to oud metha watched match and played pool.",,,,,,,,,,,,,,,,,,,,,,,
Sunday,05/22/2022,"went for swimming at night, made chicken curry with papa, went for a walk with nakul and had burger club,watched a black mirror episode",,,,,,,,,,,,,,,,,,,,,,,
Monday,05/23/2022,"Hamdan's birthday at Johnson's place, chinese food, slept at like 4",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,05/24/2022,"johnsons place in the morning, went with dev to Salkara, watched match in the evening, buttler played amazing but titans won.",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,05/25/2022,"Watched drive to survive in the morning, made my first ubc timetable, gymmed around 4 and saw familiar faces, went to mamzar, had biryani, watched match in the evening, rcb won!",,,,,,,,,,,,,,,,,,,,,,,
Thursday,05/26/2022,"got a call from credit suisse for offer, watched bhul bhulaiya 2 at home, went to board games cafe and played splendor, had mango fish curry",,,,,,,,,,,,,,,,,,,,,,,
Friday,05/27/2022,"went to la perl, met sakshi samiksha, had freez, mcd, shawarma",,,,,,,,,,,,,,,,,,,,,,,
Saturday,05/28/2022,"started stranger things, went gym, swimming with advik and played cricket w seshadri, had pasta and burger club",,,,,,,,,,,,,,,,,,,,,,,
Sunday,05/29/2022,"went to scc for shopping. bought clothes and had pizza. went for jog at night, watched ipl final and mmore stranger things",,,,,,,,,,,,,,,,,,,,,,,
Monday,05/30/2022,"met salem - mamzar, checked kefi, went to ghurair mall, fun drive, gym, swimming with advik and seshadri, watched stranger things",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,05/31/2022,"went for medical, gave blood test, ate eggs and paratha and slept. started coursera on blockchain fundementals., gymmed with Johnson and Amos, Swam too, walked them half way to Sahara and had a burger",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,06/01/2022,"GOT GOLDEN VISA, submitted forms to credit suisse, Had Amritsar Butter Chicken to celebrate, started watching a lot of Yes Theory! Played pool with Mahadev",,,,,,,,,,,,,,,,,,,,,,,
Thursday,06/02/2022,"Played a bit of fn with Justin, slept then went to BSL for VISA. Delayed so watched The Platform movie alone and Yes Theory with mama. Had KFC, gymmed  and swam",,,,,,,,,,,,,,,,,,,,,,,
Friday,06/03/2022,"Played Fall Guys, and played FIFA 22 with Hamdan. Had 2 Shawarmas and Maggi and went to Board Games Cafe. PLayed Splendor, balancing game, foosball-like game etc.. Had great fun",,,,,,,,,,,,,,,,,,,,,,,
Saturday,06/04/2022,"Tried out a new beard. Watched a lot of Yes Theory. Played Cricket with friends, went and ate mcd, packed chicking and went for swimming with advik and seshadri, played a bit of fall guys and gta",,,,,,,,,,,,,,,,,,,,,,,
Sunday,06/05/2022,"STARTED A HEALTHY DIET WITH NO JUNK FOR A WEEK. WILL TRY TO RECORD MY MEALS. gymmed, swam with mama up, watched the departed at night, lpayed uncharted 4 multiplayer. Had hammus khabus",,,,,,,,,,,,,,,,,,,,,,,
Monday,06/06/2022,did passport job with papa by going to ivs in oud methda. Met Canadian consultant. met muskan at La Mer and then went to a restaurant and had a drink. had subway,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,06/07/2022,"GOT RESIDENCE ADVISOR AT TOTEM PARK. Gymmed and met noel at the gym. Justin came over. Played valo, ps4 - fifa, rocket league. Played pool down and swam up with advik, sesh and justin. Papa made pav bhaji and had khichdi for dinner. Had a fun day!",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,06/08/2022,"Went to DTec. Met Khalid, Waleed, and Ghanim. Explored RIT and took pictures. Went to Al Khaleej center for passport but had to get mama for signature. Came back and slept till 7:30. Went for Yokos as an RA Treat. 1ST DAY OF DRIVING with family",,,,,,,,,,,,,,,,,,,,,,,
,,you have to force yourself to lack things...otherwise you won't appreciate...,,,,,,,,,,,,,,,,,,,,,,,
