Physical Activity,Day,Date,Journal,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,11/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,11/23/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,11/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,11/25/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,11/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,11/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,11/29/2024,Went partying with shariq and co. Came back 4amish,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,11/30/2024,Stayed over at anis the whole day. Ordered,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,12/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,12/02/2024,Went to work. Watched moana and ate kosoo chicken with ramen.,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,12/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,12/04/2024,"$Went to work and was very sleepy. Went to shariqs to play fifa. Came back and worked more. Came back home. Ordered Dominos, watched modern family, ani got angry with me over ketchup. had cereal and gave me a goodmorning cereal.",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,12/05/2024,Went to work. Didn't meet shariq. Super duper low the whole day. Came back from work. Spoke to advaith for 2 and a half hours. Went for an amazing jog to downtown over the bridge. Felt very energized. Then ani came back and we I ate chicken and rice. I had amazing cereal but ani didnt that night.,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,12/06/2024,went to work. Made a double error in wire. AFT. cleared that. spoke to Mitchell for 15. Went to shariqs. played fifa and chilled till 1:15. came back at Food from office (chicken and nachos). Did course planning and had a useless chat with career advisor. did course planning. Went to shariqs and did my coop work and played rocket league. Went with ani to Nook and Cider. Ubered back home,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,12/07/2024,Woke up and spoke with ani for an hour. Had some cereal. Watched kapil sharma and hasan minhaj. Had cereal again 5 times. Had shaheee paneer and chicken for lunch. Watched more hasan minhaj. Talked about whistler I think. Ani slept really early at 7:15 pm.  Watched aakashvani and ind vs aus highlights. Made ramen spoke to parents. Had ramen pizza watched day 3. Watched among us sidemen and slept,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,12/08/2024,Ordered Biriyani. Chilled at home.,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,12/09/2024,Worked. Sulaiman left the workplace. First day without Ofelia. Got screwed because I came a bit late after lunch break. Did some work and watched yt. Went back to UBC. Played some table tennis with Dwayne. Went back up and watched some shows. ,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,12/10/2024,"Whistler! Got up super lazy. Spoke to parents. Went on bus to car. Had tims on the way. Started watching Lucky Bhaskar. Reached and got the car, was a bit nervous. Got it and then drove to ubc. Picked up ani, went to no frills. Peaceful drive with lot of music. Reached whistler, went to the village and roamed around. Had food from Main Street Noodles, Walked around a bit more. Found Cows Ice cream shop and got ice cream. Packed Noodles Went back to the hot tub and spoke for an hour and a half. Watched some Lucky Bhaskar and slept",,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,12/11/2024,Whistler! Got up and went to blenz coffee and had breakfast. Drove back and went Porteau Cove. Then dropped the car and reached home. I was very sleepy. Ate food wtv at home. ,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,12/12/2024,"Worked. Watched youtube, ufc wtv at work. Met Shariq at 4:30. Super fun. Played fifa, rocket league, f1, sonic. Dropped me to anis. Got food, chole and paneer. Slept while watching something.",,,,,,,,,,,,,,,,,,,,,,,,
,Friday,12/13/2024,"Worked, watched housefull half. Went to shariqs and played rocket league with Asad. Went back and did work. Figured out advising work. Did draft, wire 1.2 million wire. Left to shariqs and played fifa, sonic, rocket league. Slept for a bit too. Went to anis for the movie. Ended up staying home and ordering popeyes. Had cereal late night",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,12/14/2024,"ani left to work in the morning, I went to burnaby. went to ansh and diyas. saw wicked and moana 2. next day chilled, went to Micheal's for diyas shopping, drove car in the morning that day 6am. at night ate chole and roti. bought bubble tea for all of them at brentwood. ",,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,12/15/2024,Sunday and sat combined burnaby ,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,12/16/2024,"went to work then came back home. spoke to ani, went to hers, and slept",,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,12/17/2024,"Went to work, barely worked. sat at sophies. went to shariqs and played fifa and chilled with him till 7:45-8pm. Then went to anis and met tariq and Umaimah",,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,12/18/2024,Went back home after work to anis. sorted stuff out.,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,12/19/2024,Went to work. Then went to shariqs and met nima. Chilled there and had chipotle. Ani came to pacific and bought clothes for ria. packed lotta sushi then went home ate sushi and had bubble tea.,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,12/20/2024,"Last day at office. Did few tasks, chilled really wasted time. Finally got free. Left back to ubc. met nubbh, started backing around 7:30 spoke to papa mama, ani came over, had cereal. ",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,12/21/2024,"Had cereal in the morning. Then had some food. Had cereal again in the afternoon. Then met neel, sarang, nubbh, dwayne, had some bubble tea, played some ps4 fifa, rocket league. Left to airport with raghav.",,,,,,,,,,,,,,,,,,,,,,,,
